species_name,abbreviation,taxid,common_name,aquatic
Tursiops_truncatus,Ttru,9739,Common_bottlenose_dolphin,aquatic
Eschrichtius_robustus,Bacu,9764,Gray_whale,aquatic
Bos_taurus,Btau,9913,domestic_cattle,terrestrial
Odobenus_rosmarus,Oros,9708,walrus,aquatic
Zalophus_californianus,Zcal,9704,California_sea_lion,aquatic
Ursus_arctos,Uarc,9644,brown_bear,terrestrial
Mustela_putorius_furo,Mfur,9669,ferret,terrestrial
Balaenoptera_musculus,Tman,9771,Blue_whale,aquatic
Loxodonta_africana,Lafr,9785,African_bush_elephant,terrestrial
Homo_sapiens,Hsap,9606,Human,terrestrial
Equus_caballus,Ecab,9796,horse,terrestrial
Capra_hircus,Chir,9925,domestic_goat,terrestrial
Canis_lupus_familiaris,Clup,9615,dog,terrestrial
Chrysochloris_asiatica,Casa,185453,Cape_golden_mole,terrestrial
Anolis_carolinensis,Acar,28377,green_anole,terrestrial
Carassius_auratus,Caur,7957,goldfish,aquatic
Latimeria_chalumnae,Lcha,7897,West_Indian_Ocean_coelacanth,aquatic
